priorizado,dss,iso3,territorio,anio,valor_salud,valor_dss
razon-mortalidad-materna,gasto-educ-pib,ARG,Argentina,2000,49,4.58030986785889
razon-mortalidad-materna,gasto-educ-pib,ABW,Aruba,2000,6.2,4.71468019485474
razon-mortalidad-materna,gasto-educ-pib,BHS,Bahamas,2000,57,2.23284006118774
razon-mortalidad-materna,gasto-educ-pib,BRB,Barbados,2000,1.1,4.71585988998413
razon-mortalidad-materna,gasto-educ-pib,BLZ,Belice,2000,113,3.68356990814209
razon-mortalidad-materna,gasto-educ-pib,BRA,Brasil,2000,49,3.94893002510071
razon-mortalidad-materna,gasto-educ-pib,CAN,Canadá,2000,8,5.42330980300903
razon-mortalidad-materna,gasto-educ-pib,CHL,Chile,2000,33,3.75707006454468
razon-mortalidad-materna,gasto-educ-pib,COL,Colombia,2000,70,3.5112099647522
razon-mortalidad-materna,gasto-educ-pib,CRI,Costa Rica,2000,25,4.66695022583008
razon-mortalidad-materna,gasto-educ-pib,CUB,Cuba,2000,23,7.70481014251709
razon-mortalidad-materna,gasto-educ-pib,ECU,Ecuador,2000,124,1.20265996456146
razon-mortalidad-materna,gasto-educ-pib,SLV,El Salvador,2000,58,2.8386800289154
razon-mortalidad-materna,gasto-educ-pib,GUY,Guyana,2000,148,8.48414993286133
razon-mortalidad-materna,gasto-educ-pib,JAM,Jamaica,2000,12,4.98346996307373
razon-mortalidad-materna,gasto-educ-pib,MEX,México,2000,37,3.80870008468628
razon-mortalidad-materna,gasto-educ-pib,NIC,Nicaragua,2000,125,3.00160002708435
razon-mortalidad-materna,gasto-educ-pib,PAN,Panamá,2000,71,4.89397001266479
razon-mortalidad-materna,gasto-educ-pib,PRY,Paraguay,2000,98,4.2302098274231
razon-mortalidad-materna,gasto-educ-pib,PER,Perú,2000,367,3.22802996635437
razon-mortalidad-materna,gasto-educ-pib,DOM,República Dominicana,2000,145,1.88829004764557
razon-mortalidad-materna,gasto-educ-pib,URY,Uruguay,2000,33,2.42254996299744
razon-mortalidad-materna,gasto-educ-pib,ARG,Argentina,2001,46,4.833740234375
razon-mortalidad-materna,gasto-educ-pib,ABW,Aruba,2001,6.5,4.79898023605347
razon-mortalidad-materna,gasto-educ-pib,BRB,Barbados,2001,2.3,6.05536985397339
razon-mortalidad-materna,gasto-educ-pib,BLZ,Belice,2001,131,4.23519992828369
razon-mortalidad-materna,gasto-educ-pib,BRA,Brasil,2001,46,3.84467005729675
razon-mortalidad-materna,gasto-educ-pib,CAN,Canadá,2001,8,4.95304012298584
razon-mortalidad-materna,gasto-educ-pib,COL,Colombia,2001,64,3.70867991447449
razon-mortalidad-materna,gasto-educ-pib,CRI,Costa Rica,2001,26,4.83203983306885
razon-mortalidad-materna,gasto-educ-pib,CUB,Cuba,2001,16,8.3580904006958
razon-mortalidad-materna,gasto-educ-pib,GUY,Guyana,2001,134,8.39729022979736
razon-mortalidad-materna,gasto-educ-pib,JAM,Jamaica,2001,11,5.38103008270264
razon-mortalidad-materna,gasto-educ-pib,MEX,México,2001,36,4.0313401222229
razon-mortalidad-materna,gasto-educ-pib,PAN,Panamá,2001,99,4.18935012817383
razon-mortalidad-materna,gasto-educ-pib,PRY,Paraguay,2001,96,3.8335599899292
razon-mortalidad-materna,gasto-educ-pib,PER,Perú,2001,327,3.03712010383606
razon-mortalidad-materna,gasto-educ-pib,DOM,República Dominicana,2001,124,1.96782994270325
razon-mortalidad-materna,gasto-educ-pib,URY,Uruguay,2001,34,2.80096006393433
razon-mortalidad-materna,gasto-educ-pib,ARG,Argentina,2002,45,4.01734018325806
razon-mortalidad-materna,gasto-educ-pib,ABW,Aruba,2002,6.8,4.87220001220703
razon-mortalidad-materna,gasto-educ-pib,BRB,Barbados,2002,1.9,5.88062000274658
razon-mortalidad-materna,gasto-educ-pib,BRA,Brasil,2002,50,3.75037002563477
razon-mortalidad-materna,gasto-educ-pib,CAN,Canadá,2002,7.3,4.99306011199951
razon-mortalidad-materna,gasto-educ-pib,CHL,Chile,2002,24,4.04881000518799
razon-mortalidad-materna,gasto-educ-pib,COL,Colombia,2002,59,4.26812982559204
razon-mortalidad-materna,gasto-educ-pib,CRI,Costa Rica,2002,21,5.15044021606445
razon-mortalidad-materna,gasto-educ-pib,CUB,Cuba,2002,15,9.57116985321045
razon-mortalidad-materna,gasto-educ-pib,SLV,El Salvador,2002,52,3.242840051651
razon-mortalidad-materna,gasto-educ-pib,GUY,Guyana,2002,173,8.36553955078125
razon-mortalidad-materna,gasto-educ-pib,JAM,Jamaica,2002,8.9,5.37522983551025
razon-mortalidad-materna,gasto-educ-pib,MEX,México,2002,33,4.24307012557983
razon-mortalidad-materna,gasto-educ-pib,NIC,Nicaragua,2002,98,2.39101004600525
razon-mortalidad-materna,gasto-educ-pib,PAN,Panamá,2002,87,4.2549901008606
razon-mortalidad-materna,gasto-educ-pib,PRY,Paraguay,2002,91,3.40773010253906
razon-mortalidad-materna,gasto-educ-pib,PER,Perú,2002,295,2.82056999206543
razon-mortalidad-materna,gasto-educ-pib,DOM,República Dominicana,2002,100,1.9140100479126
razon-mortalidad-materna,gasto-educ-pib,URY,Uruguay,2002,26,2.32220005989075
razon-mortalidad-materna,gasto-educ-pib,ARG,Argentina,2003,41,3.53504991531372
razon-mortalidad-materna,gasto-educ-pib,BRB,Barbados,2003,3.3,6.24569988250732
razon-mortalidad-materna,gasto-educ-pib,BLZ,Belice,2003,80,3.90120005607605
razon-mortalidad-materna,gasto-educ-pib,BMU,Bermudas,2003,4.7,1.6662700176239
razon-mortalidad-materna,gasto-educ-pib,CHL,Chile,2003,21,3.91868996620178
razon-mortalidad-materna,gasto-educ-pib,COL,Colombia,2003,56,4.32513999938965
