tipo,indicador,iso3,territorio,anio,valor
dss,gasto-educ-pib,COL,Colombia,1980,1.72912001609802
dss,gasto-educ-pib,CRI,Costa Rica,1980,7.34716987609863
dss,gasto-educ-pib,CUB,Cuba,1980,8.36909008026123
dss,gasto-educ-pib,HND,Honduras,1980,1.93636000156403
dss,gasto-educ-pib,PAN,Panamá,1980,3.53567004203796
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1980,3.76807999610901
dss,gasto-educ-pib,URY,Uruguay,1980,2.15950989723206
dss,gasto-educ-pib,VEN,Venezuela,1980,4.40072011947632
dss,gasto-educ-pib,CAN,Canadá,1981,6.40900993347168
dss,gasto-educ-pib,CHL,Chile,1981,4.82065010070801
dss,gasto-educ-pib,COL,Colombia,1981,2.59723997116089
dss,gasto-educ-pib,HTI,Haití,1981,1.39374005794525
dss,gasto-educ-pib,PAN,Panamá,1981,3.43179988861084
dss,gasto-educ-pib,VEN,Venezuela,1981,5.18743991851807
dss,gasto-educ-pib,ARG,Argentina,1982,1.59786999225616
dss,gasto-educ-pib,CAN,Canadá,1982,6.49725008010864
dss,gasto-educ-pib,CRI,Costa Rica,1982,4.88506984710693
dss,gasto-educ-pib,HTI,Haití,1982,1.07954001426697
dss,gasto-educ-pib,PAN,Panamá,1982,3.41850996017456
dss,gasto-educ-pib,DOM,República Dominicana,1982,1.53891003131866
dss,gasto-educ-pib,LCA,Santa Lucía,1982,5.53879022598267
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1982,5.45739984512329
dss,gasto-educ-pib,VEN,Venezuela,1982,5.00895023345947
dss,gasto-educ-pib,ARG,Argentina,1983,1.61749994754791
dss,gasto-educ-pib,CAN,Canadá,1983,6.85547018051147
dss,gasto-educ-pib,CRI,Costa Rica,1983,4.95777988433838
dss,gasto-educ-pib,GUY,Guyana,1983,8.2534704208374
dss,gasto-educ-pib,HTI,Haití,1983,1.0222100019455
dss,gasto-educ-pib,PAN,Panamá,1983,3.55090999603271
dss,gasto-educ-pib,DOM,República Dominicana,1983,1.46382999420166
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1983,5.76660013198853
dss,gasto-educ-pib,VEN,Venezuela,1983,6.0598201751709
dss,gasto-educ-pib,ARG,Argentina,1984,2.56972002983093
dss,gasto-educ-pib,CAN,Canadá,1984,6.61841011047363
dss,gasto-educ-pib,COL,Colombia,1984,3.00429010391235
dss,gasto-educ-pib,ECU,Ecuador,1984,4.20342016220093
dss,gasto-educ-pib,GUY,Guyana,1984,7.22747993469238
dss,gasto-educ-pib,HTI,Haití,1984,0.986190021038055
dss,gasto-educ-pib,PAN,Panamá,1984,3.46870994567871
dss,gasto-educ-pib,DOM,República Dominicana,1984,1.33455002307892
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1984,5.87390995025635
dss,gasto-educ-pib,URY,Uruguay,1984,2.37338995933533
dss,gasto-educ-pib,VEN,Venezuela,1984,4.06372976303101
dss,gasto-educ-pib,ARG,Argentina,1985,1.36186003684998
dss,gasto-educ-pib,BMU,Bermudas,1985,3.03449010848999
dss,gasto-educ-pib,CAN,Canadá,1985,6.18943023681641
dss,gasto-educ-pib,COL,Colombia,1985,2.71527004241943
dss,gasto-educ-pib,ECU,Ecuador,1985,5.23334980010986
dss,gasto-educ-pib,HTI,Haití,1985,0.969290018081665
dss,gasto-educ-pib,JAM,Jamaica,1985,5.39190006256104
dss,gasto-educ-pib,PAN,Panamá,1985,3.52146005630493
dss,gasto-educ-pib,PRY,Paraguay,1985,1.39584004878998
dss,gasto-educ-pib,DOM,República Dominicana,1985,1.21019005775452
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1985,3.96502995491028
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1985,5.76774978637695
dss,gasto-educ-pib,URY,Uruguay,1985,2.56679010391235
dss,gasto-educ-pib,ARG,Argentina,1986,1.261549949646
dss,gasto-educ-pib,CAN,Canadá,1986,6.02058982849121
dss,gasto-educ-pib,CRI,Costa Rica,1986,4.42026996612549
dss,gasto-educ-pib,ECU,Ecuador,1986,6.87237977981567
dss,gasto-educ-pib,JAM,Jamaica,1986,4.60398006439209
dss,gasto-educ-pib,PAN,Panamá,1986,3.34574007987976
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,1986,4.42911005020142
dss,gasto-educ-pib,LCA,Santa Lucía,1986,4.15467977523804
dss,gasto-educ-pib,URY,Uruguay,1986,3.1028299331665
dss,gasto-educ-pib,ARG,Argentina,1987,1.28229999542236
dss,gasto-educ-pib,CAN,Canadá,1987,6.29827976226807
dss,gasto-educ-pib,CHL,Chile,1987,2.7789900302887
dss,gasto-educ-pib,NIC,Nicaragua,1987,5.35174989700317
dss,gasto-educ-pib,PAN,Panamá,1987,3.87012004852295
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1987,2.64112997055054
dss,gasto-educ-pib,VEN,Venezuela,1987,3.92751002311706
dss,gasto-educ-pib,CAN,Canadá,1988,6.15022993087769
dss,gasto-educ-pib,CRI,Costa Rica,1988,4.01322984695435
dss,gasto-educ-pib,JAM,Jamaica,1988,3.94086003303528
dss,gasto-educ-pib,VEN,Venezuela,1988,3.62941002845764
dss,gasto-educ-pib,ARG,Argentina,1989,1.04612004756927
dss,gasto-educ-pib,CAN,Canadá,1989,6.07406997680664
dss,gasto-educ-pib,COL,Colombia,1989,2.70525002479553
dss,gasto-educ-pib,CRI,Costa Rica,1989,4.07784986495972
dss,gasto-educ-pib,DMA,Dominica,1989,4.28990983963013
dss,gasto-educ-pib,JAM,Jamaica,1989,5.18397998809815
dss,gasto-educ-pib,MEX,México,1989,2.2820100784301798
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1989,2.19795989990234
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,1989,4.46868991851807
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1989,4.1998701095581
dss,gasto-educ-pib,ARG,Argentina,1990,1.06737995147705
dss,gasto-educ-pib,BMU,Bermudas,1990,3.13619995117188
dss,gasto-educ-pib,CAN,Canadá,1990,5.96922016143799
dss,gasto-educ-pib,CHL,Chile,1990,2.23059010505676
dss,gasto-educ-pib,JAM,Jamaica,1990,4.7791600227356
dss,gasto-educ-pib,MEX,México,1990,2.32498002052307
dss,gasto-educ-pib,PRY,Paraguay,1990,1.04070997238159
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1990,3.65412998199463
dss,gasto-educ-pib,VEN,Venezuela,1990,2.44671010971069
dss,gasto-educ-pib,BRB,Barbados,1991,6.63870000839233
dss,gasto-educ-pib,BMU,Bermudas,1991,3.15065002441406
dss,gasto-educ-pib,CAN,Canadá,1991,6.85951995849609
dss,gasto-educ-pib,CUB,Cuba,1991,7.14496994018555
dss,gasto-educ-pib,HTI,Haití,1991,1.07398998737335
dss,gasto-educ-pib,JAM,Jamaica,1991,4.38306999206543
dss,gasto-educ-pib,MEX,México,1991,2.54800009727478
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1991,1.99845004081726
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,1991,4.87377023696899
dss,gasto-educ-pib,URY,Uruguay,1991,2.47907996177673
dss,gasto-educ-pib,BMU,Bermudas,1992,3.47604990005493
dss,gasto-educ-pib,CAN,Canadá,1992,6.74663019180298
dss,gasto-educ-pib,JAM,Jamaica,1992,3.33665990829468
dss,gasto-educ-pib,MEX,México,1992,3.00500988960266
dss,gasto-educ-pib,NIC,Nicaragua,1992,2.98497009277344
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1992,2.30386996269226
dss,gasto-educ-pib,URY,Uruguay,1992,2.41153001785278
dss,gasto-educ-pib,VEN,Venezuela,1992,4.31067991256714
dss,gasto-educ-pib,CAN,Canadá,1993,7.67834997177124
dss,gasto-educ-pib,CHL,Chile,1993,2.35279989242554
dss,gasto-educ-pib,CUB,Cuba,1993,7.07476997375488
dss,gasto-educ-pib,GTM,Guatemala,1993,1.66575002670288
dss,gasto-educ-pib,JAM,Jamaica,1993,3.21403002738953
dss,gasto-educ-pib,DOM,República Dominicana,1993,0.773949980735779
dss,gasto-educ-pib,VEN,Venezuela,1993,3.81783008575439
dss,gasto-educ-pib,CAN,Canadá,1994,6.65829992294312
dss,gasto-educ-pib,CHL,Chile,1994,2.49258995056152
dss,gasto-educ-pib,CUB,Cuba,1994,5.61948013305664
dss,gasto-educ-pib,GTM,Guatemala,1994,1.43998003005981
dss,gasto-educ-pib,GUY,Guyana,1994,3.72445011138916
dss,gasto-educ-pib,HND,Honduras,1994,2.51263999938965
dss,gasto-educ-pib,JAM,Jamaica,1994,4.06418991088867
dss,gasto-educ-pib,MEX,México,1994,3.47706007957458
dss,gasto-educ-pib,PAN,Panamá,1994,3.47054004669189
dss,gasto-educ-pib,DOM,República Dominicana,1994,0.893369972705841
dss,gasto-educ-pib,LCA,Santa Lucía,1994,6.53238010406494
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1994,3.43180990219116
dss,gasto-educ-pib,URY,Uruguay,1994,2.27171993255615
dss,gasto-educ-pib,VEN,Venezuela,1994,5.00603008270264
dss,gasto-educ-pib,BRA,Brasil,1995,4.56816005706787
dss,gasto-educ-pib,CAN,Canadá,1995,6.30476999282837
dss,gasto-educ-pib,CHL,Chile,1995,2.55165004730225
dss,gasto-educ-pib,CRI,Costa Rica,1995,3.35273003578186
dss,gasto-educ-pib,ECU,Ecuador,1995,1.99764001369476
dss,gasto-educ-pib,GTM,Guatemala,1995,1.60479998588562
dss,gasto-educ-pib,GUY,Guyana,1995,3.60933995246887
dss,gasto-educ-pib,HND,Honduras,1995,2.61744999885559
dss,gasto-educ-pib,JAM,Jamaica,1995,3.38908004760742
dss,gasto-educ-pib,MEX,México,1995,3.4974699020385702
dss,gasto-educ-pib,PAN,Panamá,1995,3.94780993461609
dss,gasto-educ-pib,DOM,República Dominicana,1995,1.03330004215241
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1995,2.57641005516052
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1995,3.55854988098144
dss,gasto-educ-pib,URY,Uruguay,1995,2.521399974823
dss,gasto-educ-pib,ARG,Argentina,1996,3.73198008537292
dss,gasto-educ-pib,CHL,Chile,1996,2.77720999717712
dss,gasto-educ-pib,CRI,Costa Rica,1996,3.89071011543274
dss,gasto-educ-pib,GTM,Guatemala,1996,1.56369996070862
dss,gasto-educ-pib,JAM,Jamaica,1996,3.67773008346558
dss,gasto-educ-pib,PAN,Panamá,1996,4.39390993118286
